date,hour,location,district,crime_category,is_valid,latitude,longitude,geocode_method
2016-07-12,21,臺中市西屯區重慶路,西屯區,機車竊盜,1,24.166914300837078,120.60130912522332,jittered
2016-07-13,12,臺中市清水區臨港路,清水區,機車竊盜,1,24.27491704657957,120.56169208824053,jittered
2016-07-14,1,臺中市北屯區河北路與大連路口,北屯區,機車竊盜,1,24.1946818742887,120.67274674043176,jittered
2016-07-14,6,臺中市大里區新生路126巷口,大里區,機車竊盜,1,24.099506600466135,120.68740653923675,jittered
2016-07-15,0,臺中市南區國光里027鄰仁和路,南區,機車竊盜,1,24.12785505635093,120.66059307838812,jittered
2016-07-15,1,臺中市西屯區工業區一路72巷,西屯區,機車竊盜,1,24.191871791211494,120.6427,jittered
2016-07-15,5,臺中市外埔區水美路116巷,外埔區,機車竊盜,1,24.330855214066812,120.6536653251896,jittered
2016-07-15,13,臺中市西區自由路1段,西區,機車竊盜,1,24.135627832437375,120.66085128908342,jittered
2016-07-15,19,臺中市大里區長興一街,大里區,機車竊盜,1,24.091720908324277,120.65621112956903,jittered
2016-07-16,8,臺中市西屯區市政北一路,西屯區,機車竊盜,1,24.197421315415664,120.64107114442777,jittered
2016-07-16,15,臺中市西屯區惠來路市政北七路口,西屯區,機車竊盜,1,24.17703100745247,120.6195555980544,jittered
